timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763950952,67.2,0,9,0.7,389.53,38,0.44,0.00,99.31,0.00,0
1763950955,67.2,0,9,0.7,389.53,38,16.01,0.00,73.82,0.00,0
1763950958,67.4,0,9,0.7,389.53,38,15.13,0.00,72.83,0.00,0
1763950961,67.5,0,9,0.7,389.53,38,15.76,0.00,72.39,0.00,0
1763950964,67.6,0,9,0.7,389.53,38,16.60,0.00,73.41,0.00,0
1763950967,67.8,0,9,0.7,389.53,38,17.35,0.00,72.45,0.00,0
1763950971,67.9,0,9,0.7,389.53,38,15.66,0.00,74.48,0.00,0
1763950974,68.0,0,9,0.7,389.53,38,15.33,0.00,74.45,0.00,0
1763950977,68.1,0,9,0.7,389.53,38,15.83,0.00,73.68,0.00,0
1763950980,68.2,0,9,0.7,389.53,38,15.41,0.00,73.09,0.00,0
1763950983,68.4,0,9,0.7,389.53,38,14.98,0.00,73.85,0.00,0
1763950986,68.5,0,9,0.7,389.53,38,15.48,0.00,74.05,0.00,0
1763950989,68.6,0,9,0.7,389.53,38,15.92,0.00,73.15,0.00,0
1763950992,68.7,0,9,0.7,389.53,38,15.88,0.00,73.83,0.00,0
1763950995,68.9,0,9,0.7,389.53,38,15.67,0.00,73.57,0.00,0
1763950999,69.0,0,9,0.7,389.53,38,16.37,0.00,73.44,0.00,0
1763951002,69.1,0,9,0.7,389.53,38,16.03,0.00,73.63,0.00,0
1763951005,69.2,0,9,0.7,389.53,38,15.75,0.00,74.79,0.00,0
1763951008,69.3,0,9,0.7,389.53,38,15.93,0.00,73.89,0.00,0
1763951011,69.5,0,9,0.7,389.53,38,15.06,0.00,74.35,0.00,0
