timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763948772,39.6,0,9,0.7,377.73,37,0.31,0.00,99.62,0.00,0
1763948775,39.6,0,9,0.7,377.73,37,15.44,0.00,78.42,0.00,0
1763948778,39.8,0,9,0.7,377.73,37,15.12,0.00,78.48,0.00,0
1763948781,40.0,0,9,0.7,377.73,37,15.01,0.00,78.90,0.00,0
1763948784,40.2,0,9,0.7,377.73,37,14.93,0.00,78.67,0.00,0
1763948787,40.4,0,9,0.7,377.73,37,14.01,0.00,80.66,0.00,0
1763948790,40.6,0,9,0.7,377.73,37,15.57,0.00,77.71,0.00,0
1763948794,40.7,0,9,0.7,377.73,37,15.55,0.00,77.47,0.00,0
1763948797,40.9,0,9,0.7,377.73,37,15.25,0.00,78.17,0.00,0
1763948800,41.1,0,9,0.7,377.73,37,14.75,0.00,78.58,0.00,0
1763948803,41.2,0,9,0.7,377.73,37,14.73,0.00,78.48,0.00,0
1763948806,41.4,0,9,0.7,377.73,37,15.34,0.00,78.29,0.00,0
1763948809,41.6,0,9,0.7,377.73,37,15.04,0.00,78.18,0.00,0
1763948812,41.8,0,9,0.7,377.73,37,15.34,0.00,77.95,0.00,0
1763948815,42.0,0,9,0.7,377.73,37,15.76,0.00,76.61,0.00,0
1763948818,42.1,0,9,0.7,377.73,37,13.67,0.00,79.66,0.00,0
1763948822,42.3,0,9,0.7,377.73,37,14.60,0.00,78.23,0.00,0
1763948825,42.5,0,9,0.7,377.73,37,15.55,0.00,77.74,0.00,0
1763948828,42.7,0,9,0.7,377.73,37,14.79,0.00,78.62,0.00,0
1763948831,42.8,0,9,0.7,377.73,37,15.37,0.00,77.56,0.00,0
