timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763950235,54.5,0,9,0.7,389.53,38,0.50,0.00,99.25,0.00,0
1763950238,54.5,0,9,0.7,389.53,38,15.93,0.00,77.52,0.00,0
1763950241,54.6,0,9,0.7,389.53,38,16.08,0.00,76.10,0.00,0
1763950244,54.7,0,9,0.7,389.53,38,16.19,0.00,76.52,0.00,0
1763950247,54.9,0,9,0.7,389.53,38,16.00,0.00,76.60,0.00,0
1763950251,55.0,0,9,0.7,389.53,38,16.20,0.00,77.00,0.00,0
1763950254,55.1,0,9,0.7,389.53,38,14.18,0.00,78.45,0.00,0
1763950257,55.2,0,9,0.7,389.53,38,15.74,0.00,76.61,0.00,0
1763950260,55.3,0,9,0.7,389.53,38,15.39,0.00,77.59,0.00,0
1763950263,55.4,0,9,0.7,389.53,38,15.36,0.00,76.90,0.00,0
1763950266,55.5,0,9,0.7,389.53,38,15.25,0.00,77.51,0.00,0
1763950269,55.6,0,9,0.7,389.53,38,16.23,0.00,77.16,0.00,0
1763950272,55.7,0,9,0.7,389.53,38,15.38,0.00,76.73,0.00,0
1763950275,55.8,0,9,0.7,389.53,38,15.21,0.00,78.11,0.00,0
1763950278,55.9,0,9,0.7,389.53,38,15.55,0.00,77.50,0.00,0
1763950281,56.0,0,9,0.7,389.53,38,15.43,0.00,77.46,0.00,0
1763950285,56.1,0,9,0.7,389.53,38,15.07,0.00,79.53,0.00,0
1763950288,56.2,0,9,0.7,389.53,38,14.60,0.00,77.88,0.00,0
1763950291,56.3,0,9,0.7,389.53,38,15.10,0.00,79.07,0.00,0
1763950294,56.4,0,9,0.7,389.53,38,16.41,0.00,76.44,0.00,0
