timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763950630,61.4,0,9,0.7,389.53,38,0.50,0.00,99.31,0.00,0
1763950633,61.4,0,9,0.7,389.53,38,16.24,0.00,76.40,0.00,0
1763950637,61.5,0,9,0.7,389.53,38,15.88,0.00,76.75,0.00,0
1763950640,61.6,0,9,0.7,389.53,38,14.71,0.00,78.52,0.00,0
1763950643,61.7,0,9,0.7,389.53,38,15.46,0.00,77.68,0.00,0
1763950646,61.8,0,9,0.7,389.53,38,15.78,0.00,77.49,0.00,0
1763950649,61.9,0,9,0.7,389.53,38,15.68,0.00,77.87,0.00,0
1763950652,61.9,0,9,0.7,389.53,38,15.50,0.00,77.00,0.00,0
1763950655,62.0,0,9,0.7,389.53,38,14.68,0.00,79.16,0.00,0
1763950658,62.1,0,9,0.7,389.53,38,15.29,0.00,77.48,0.00,0
1763950661,62.2,0,9,0.7,389.53,38,15.10,0.00,78.06,0.00,0
1763950665,62.3,0,9,0.7,389.53,38,15.97,0.00,77.25,0.00,0
1763950668,62.4,0,9,0.7,389.53,38,14.76,0.00,77.89,0.00,0
1763950671,62.5,0,9,0.7,389.53,38,14.90,0.00,79.29,0.00,0
1763950674,62.6,0,9,0.7,389.53,38,14.93,0.00,78.78,0.00,0
1763950677,62.7,0,9,0.7,389.53,38,14.63,0.00,78.87,0.00,0
1763950680,62.8,0,9,0.7,389.53,38,16.12,0.00,77.22,0.00,0
1763950683,62.9,0,9,0.7,389.53,38,15.40,0.00,77.91,0.00,0
1763950686,63.0,0,9,0.7,389.53,38,14.03,0.00,79.06,0.00,0
1763950689,63.1,0,9,0.7,389.53,38,15.15,0.00,77.50,0.00,0
