timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763951131,71.1,0,9,0.7,389.53,38,0.62,0.00,99.00,0.00,0
1763951134,71.1,0,9,0.7,389.53,38,6.02,0.00,89.46,0.00,0
1763951137,71.1,0,9,0.7,389.53,38,6.19,0.00,89.89,0.00,0
1763951140,71.1,0,9,0.7,389.53,38,6.60,0.00,89.50,0.00,0
1763951143,71.1,0,9,0.7,389.53,38,6.14,0.00,89.04,0.00,0
1763951146,71.1,0,9,0.7,389.53,38,5.98,0.00,90.64,0.00,0
1763951149,71.1,0,9,0.7,389.53,38,5.69,0.00,90.20,0.00,0
1763951152,71.1,0,9,0.7,389.53,38,5.88,0.00,90.07,0.00,0
1763951155,71.1,0,9,0.7,389.53,38,6.59,0.00,90.24,0.00,0
1763951158,71.1,0,9,0.7,389.53,38,6.23,0.00,90.65,0.00,0
1763951162,71.1,0,9,0.7,389.53,38,6.46,0.00,89.22,0.00,0
1763951165,71.1,0,9,0.7,389.53,38,6.31,0.00,89.00,0.00,0
1763951168,71.1,0,9,0.7,389.53,38,6.17,0.00,90.64,0.00,0
1763951171,71.1,0,9,0.7,389.53,38,6.32,0.00,90.02,0.00,0
1763951174,71.1,0,9,0.7,389.53,38,5.95,0.00,90.25,0.00,0
1763951177,71.1,0,9,0.7,389.53,38,5.60,0.00,90.65,0.00,0
1763951180,71.1,0,9,0.7,389.53,38,5.93,0.00,90.03,0.00,0
1763951183,71.1,0,9,0.7,389.53,38,6.29,0.00,89.57,0.00,0
1763951186,71.1,0,9,0.7,389.53,38,6.42,0.00,89.74,0.00,0
1763951189,71.1,0,9,0.7,389.53,38,6.85,0.00,89.57,0.00,0
