timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763948699,36.1,0,9,0.7,377.73,37,0.37,0.00,99.44,0.00,0
1763948702,36.2,0,9,0.7,377.73,37,14.73,0.00,78.81,0.00,0
1763948705,36.4,0,9,0.7,377.73,37,15.56,0.00,77.49,0.00,0
1763948708,36.6,0,9,0.7,377.73,37,15.03,0.00,78.71,0.00,0
1763948712,36.8,0,9,0.7,377.73,37,14.94,0.00,78.30,0.00,0
1763948715,37.0,0,9,0.7,377.73,37,14.67,0.00,78.10,0.00,0
1763948718,37.2,0,9,0.7,377.73,37,16.05,0.00,77.79,0.00,0
1763948721,37.3,0,9,0.7,377.73,37,13.90,0.00,78.48,0.00,0
1763948724,37.5,0,9,0.7,377.73,37,15.42,0.00,78.14,0.00,0
1763948727,37.7,0,9,0.7,377.73,37,15.21,0.00,77.57,0.00,0
1763948730,37.9,0,9,0.7,377.73,37,15.39,0.00,77.85,0.00,0
1763948733,38.1,0,9,0.7,377.73,37,15.39,0.00,77.59,0.00,0
1763948736,38.3,0,9,0.7,377.73,37,14.96,0.00,78.53,0.00,0
1763948740,38.5,0,9,0.7,377.73,37,14.75,0.00,77.61,0.00,0
1763948743,38.7,0,9,0.7,377.73,37,16.17,0.00,76.31,0.00,0
1763948746,38.9,0,9,0.7,377.73,37,15.95,0.00,77.86,0.00,0
1763948749,39.1,0,9,0.7,377.73,37,14.47,0.00,79.01,0.00,0
1763948752,39.2,0,9,0.7,377.73,37,15.14,0.00,78.27,0.00,0
1763948755,39.4,0,9,0.7,377.73,37,14.79,0.00,78.94,0.00,0
1763948758,39.6,0,9,0.7,377.73,37,14.86,0.00,78.31,0.00,0
