timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763950163,52.6,0,9,0.7,389.53,38,0.25,0.00,99.50,0.00,0
1763950166,52.6,0,9,0.7,389.53,38,15.02,0.00,78.24,0.00,0
1763950169,52.7,0,9,0.7,389.53,38,14.28,0.00,79.46,0.00,0
1763950172,52.8,0,9,0.7,389.53,38,15.02,0.00,79.22,0.00,0
1763950175,52.9,0,9,0.7,389.53,38,15.24,0.00,77.14,0.00,0
1763950178,53.0,0,9,0.7,389.53,38,15.07,0.00,78.65,0.00,0
1763950182,53.1,0,9,0.7,389.53,38,15.73,0.00,77.30,0.00,0
1763950185,53.3,0,9,0.7,389.53,38,14.41,0.00,78.52,0.00,0
1763950188,53.4,0,9,0.7,389.53,38,14.46,0.00,77.99,0.00,0
1763950191,53.5,0,9,0.7,389.53,38,15.68,0.00,78.21,0.00,0
1763950194,53.6,0,9,0.7,389.53,38,15.61,0.00,77.46,0.00,0
1763950197,53.7,0,9,0.7,389.53,38,14.21,0.00,79.13,0.00,0
1763950200,53.8,0,9,0.7,389.53,38,15.58,0.00,77.91,0.00,0
1763950203,53.9,0,9,0.7,389.53,38,14.64,0.00,78.39,0.00,0
1763950206,54.0,0,9,0.7,389.53,38,15.72,0.00,77.21,0.00,0
1763950209,54.1,0,9,0.7,389.53,38,14.61,0.00,79.09,0.00,0
1763950213,54.2,0,9,0.7,389.53,38,15.93,0.00,76.90,0.00,0
1763950216,54.3,0,9,0.7,389.53,38,15.33,0.00,78.51,0.00,0
1763950219,54.4,0,9,0.7,389.53,38,15.50,0.00,77.56,0.00,0
1763950222,54.5,0,9,0.7,389.53,38,15.18,0.00,78.16,0.00,0
