timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763948950,42.8,0,9,0.7,377.73,37,0.81,0.00,99.00,0.00,0
1763948953,42.9,0,9,0.7,377.73,37,15.93,0.00,76.75,0.00,0
1763948956,43.1,0,9,0.7,377.73,37,15.92,0.00,76.24,0.00,0
1763948959,43.2,0,9,0.7,377.73,37,15.04,0.00,77.77,0.00,0
1763948962,43.4,0,9,0.7,377.73,37,15.62,0.00,76.74,0.00,0
1763948965,43.6,0,9,0.7,377.73,37,15.45,0.00,77.21,0.00,0
1763948969,43.8,0,9,0.7,377.73,37,15.09,0.00,78.67,0.00,0
1763948972,44.0,0,9,0.7,377.73,37,14.83,0.00,77.37,0.00,0
1763948975,44.2,0,9,0.7,377.73,37,15.07,0.00,76.37,0.00,0
1763948978,44.3,0,9,0.7,377.73,37,15.40,0.00,76.61,0.00,0
1763948981,44.5,0,9,0.7,377.73,37,15.45,0.00,76.50,0.00,0
1763948984,44.7,0,9,0.7,377.73,37,14.96,0.00,76.79,0.00,0
1763948987,44.9,0,9,0.7,377.73,37,15.73,0.00,76.70,0.00,0
1763948990,45.1,0,9,0.7,377.73,37,15.34,0.00,77.28,0.00,0
1763948993,45.2,0,9,0.7,377.73,37,15.54,0.00,77.05,0.00,0
1763948996,45.4,0,9,0.7,377.73,37,15.46,0.00,77.32,0.00,0
1763949000,45.6,0,9,0.7,377.73,37,15.41,0.00,77.11,0.00,0
1763949003,45.8,0,9,0.7,377.73,37,16.18,0.00,76.18,0.00,0
1763949006,46.0,0,9,0.7,377.73,37,15.27,0.00,77.13,0.00,0
1763949009,46.1,0,9,0.7,377.73,37,15.72,0.00,76.59,0.00,0
